categoria,subcategoria,nombre,precio,url,tienda
Arcillas,Arcillas alta temperatura,"PCLI Pasta de gres con pasta de papel 12,5Kg PA84PCLI",17.28€,https://anper.net/productos/267/arcilla-alta-temperatura/pcli-pasta-de-gres-con-pasta-de-papel-12-5kg-pa84pcli,Anper
Arcillas,Arcillas alta temperatura,ALETSCH Porcelana con moloquita 5Kg PA84ALET,19.06€,https://anper.net/productos/1057/arcilla-alta-temperatura/aletsch-porcelana-con-moloquita-5kg,Anper
Arcillas,Arcillas alta temperatura,ANETO Porcelana Blanca Aneto 5Kg PA84ANETO,13.61€,https://anper.net/productos/848/arcilla-alta-temperatura/aneto-porcelana-blanca-aneto-5kg-pa84aneto,Anper
Arcillas,Arcillas alta temperatura,BLACK-ICE Porcelana Negra 5Kg. PA84BLACKICE,18.43€,https://anper.net/productos/849/arcilla-alta-temperatura/black-ice-porcelana-negra-5kg-pa84blackice,Anper
Arcillas,Arcillas alta temperatura,CELLULAIN Porcelana con fibra de papel 5Kg PA84CELLU,19.06€,https://anper.net/productos/1058/arcilla-alta-temperatura/cellulain-porcelana-con-fibra-de-papel-5kg,Anper
Arcillas,Arcillas alta temperatura,JADE Porcelana imperial translúcida -PA84JADE 5Kg,29.48€,https://anper.net/productos/1122/arcilla-alta-temperatura/jade-porcelana-imperial-translucida-PA84JADE5kg,Anper
Arcillas,Arcillas alta temperatura,LAGOON porcelana azul turquesa 5kg,19.52€,https://anper.net/productos/1254/arcilla-alta-temperatura/lagoon-porcelana-azul-turquesa-5kg,Anper
Arcillas,Arcillas alta temperatura,LOTUS Porcelana imperial extra blanca -PA84LOTUS 5Kg,21.53€,https://anper.net/productos/1123/arcilla-alta-temperatura/lotus-porcelana-imperial-extra-blanca-pa84lotus-5kg,Anper
Arcillas,Arcillas alta temperatura,PA000811 Porcelana colaje Porc-03 1Kg,"1Kg
2.78€
5Kg
11.98€
25Kg
33.83€",https://anper.net/productos/249/arcilla-alta-temperatura/pa000811-porcelana-colaje-porc-03,Anper
Arcillas,Arcillas alta temperatura,PA000811 Porcelana colaje Porc-03 5Kg,"1Kg
2.78€
5Kg
11.98€
25Kg
33.83€",https://anper.net/productos/249/arcilla-alta-temperatura/pa000811-porcelana-colaje-porc-03,Anper
Arcillas,Arcillas alta temperatura,PA000811 Porcelana colaje Porc-03 25Kg,"1Kg
2.78€
5Kg
11.98€
25Kg
33.83€",https://anper.net/productos/249/arcilla-alta-temperatura/pa000811-porcelana-colaje-porc-03,Anper
Arcillas,Arcillas alta temperatura,PA000822 Pasta Porcelana SAF 10Kg,10.01€,https://anper.net/productos/252/arcilla-alta-temperatura/pa000822-pasta-porcelana-saf-10kg,Anper
Arcillas,Arcillas alta temperatura,PA000823 Porcelana húmeda TM 10Kg,13.71€,https://anper.net/productos/253/arcilla-alta-temperatura/pa000823-porcelana-humeda-tm-10kg,Anper
Arcillas,Arcillas alta temperatura,PA84PC010B Porcelana Blanca Limoge 1230-1280ºC 25Kg,84.52€,https://anper.net/productos/266/arcilla-alta-temperatura/pa84pc010b-porcelana-blanca-limoge-1230-1280-c-25kg,Anper
Arcillas,Arcillas alta temperatura,PA84PT010B KPCL Porcelana blanca limoges 20Kg,61.71€,https://anper.net/productos/287/arcilla-alta-temperatura/pa84pt010b-kpcl-porcelana-blanca-limoges-20kg,Anper
Arcillas,Arcillas alta temperatura,PAVDARTIKA Porcelana Blanca Ártica Colaje 1260-1300ºC 25Kg,46.53€,https://anper.net/productos/307/arcilla-alta-temperatura/pavdartika-porcelana-blanca-artica-colaje-1260-1300-c-25kg,Anper
Arcillas,Arcillas alta temperatura,PAVDARTIKA Porcelana Blanca Ártica húmeda 1260-1300ºC 10Kg,13.03€,https://anper.net/productos/306/arcilla-alta-temperatura/pavdartika-porcelana-blanca-artica-humeda-1260-1300-c-10kg,Anper
Arcillas,Arcillas alta temperatura,PAVDBC10 Porcelana Translúcida-Blanca húmeda 10Kg,12.41€,https://anper.net/productos/308/arcilla-alta-temperatura/pavdbc10-porcelana-translucida-blanca-humeda-10kg,Anper
Arcillas,Arcillas alta temperatura,PAVDBC10C Porcelana Translúcida-Blanca Colage 25Kg,39.07€,https://anper.net/productos/1233/arcilla-alta-temperatura/pavdbc1c0-porcelana-translucida-blanca-colage-25kg,Anper
Arcillas,Arcillas alta temperatura,UPSALA Porcelana azul 5Kg 9A84UPSA,21.15€,https://anper.net/productos/1054/arcilla-alta-temperatura/upsala-porcelana-azul-5kg,Anper
Arcillas,Arcillas alta temperatura,"BARCINO Refractaria gris 0-1.5mm 12,5Kg PA84BARCI",16.70€,https://anper.net/productos/1055/arcilla-alta-temperatura/barcino-refractaria-gris-0-1-5mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"BERLIN Pasta refractaria gris 0-0.2mm 12,5Kg PA84BERLIN",16.70€,https://anper.net/productos/1246/arcilla-alta-temperatura/berlin-pasta-refractaria-gris-0-0-2mm-12-5kg-pa84berlin,Anper
Arcillas,Arcillas alta temperatura,"BG02 Pasta Gres-refractario Blanco 0-0,2mm 12,5Kg",15.13€,https://anper.net/productos/309/arcilla-alta-temperatura/bg02-pasta-gres-refractario-blanco-0-0-2mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"BG05 Pasta Gres-refractario Blanco 0-0,5mm 12,5Kg",15.13€,https://anper.net/productos/310/arcilla-alta-temperatura/bg05-pasta-gres-refractario-blanco-0-0-5mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"BG15 Pasta Gres-refractario Blanco 0-2mm 12,5Kg",13.72€,https://anper.net/productos/311/arcilla-alta-temperatura/bg15-pasta-gres-refractario-blanco-0-2mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"PA-CH Pasta Gres-Refractario Beige 0-1mm 12,5Kg",12.85€,https://anper.net/productos/318/arcilla-alta-temperatura/pa-ch-pasta-gres-refractario-beige-0-1mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"PA-CH3 Pasta Gres-Refractario Beige 1-3 mm 12,5Kg",15.51€,https://anper.net/productos/320/arcilla-alta-temperatura/pa-ch3-pasta-gres-refractario-beige-1-3-mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"PA-CH3B Pasta Gres-Refractario Blanco 1-3 mm 12,5Kg",17.02€,https://anper.net/productos/321/arcilla-alta-temperatura/pa-ch3b-pasta-gres-refractario-blanco-1-3-mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"PA-CH3N Pasta Gres-Refractario Negro 1-3 mm 12,5Kg",16.87€,https://anper.net/productos/322/arcilla-alta-temperatura/pa-ch3n-pasta-gres-refractario-negro-1-3-mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"PA-CH3R Pasta Gres-Refractario Roja 1-3 mm 12,5Kg",17.17€,https://anper.net/productos/323/arcilla-alta-temperatura/pa-ch3r-pasta-gres-refractario-roja-1-3-mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"PA-CHN Pasta Gres-Refractario Negra 0-1 mm 12,5Kg",16.28€,https://anper.net/productos/324/arcilla-alta-temperatura/pa-chn-pasta-gres-refractario-negra-0-1-mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"PA-CHR Pasta Gres-Refractario Rojo 0-1mm 12,5Kg",14.95€,https://anper.net/productos/319/arcilla-alta-temperatura/pa-chr-pasta-gres-refractario-rojo-0-1mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"PA-CT PASTA GRES-REFRACTARIO BEIGE 0-0,5MM 12,5Kg",13.03€,https://anper.net/productos/640/arcilla-alta-temperatura/pa-ct-pasta-gres-refractario-beige-0-0-5mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"PA-CTR PASTA GRES-REFRACTARIO ROJO 0-0,5MM 12,5Kg",15.43€,https://anper.net/productos/641/arcilla-alta-temperatura/pa-ctr-pasta-gres-refractario-rojo-0-0-5mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"PA-NT Pasta Gres-Refractario Beige 0-0,2mm",15.18€,https://anper.net/productos/315/arcilla-alta-temperatura/pa-nt-pasta-gres-refractario-beige-0-0-2mm-,Anper
Arcillas,Arcillas alta temperatura,"PA-NTN Pasta Gres-Refractario Negra 0-0,2mm 12,5Kg",17.17€,https://anper.net/productos/317/arcilla-alta-temperatura/pa-ntn-pasta-gres-refractario-negra-0-0-2mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"PA-NTR Pasta Gres-Refractario Roja 0-0,3mm 12,5Kg",16.66€,https://anper.net/productos/316/arcilla-alta-temperatura/pa-ntr-pasta-gres-refractario-roja-0-0-3mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"PRAF Pasta refractaria blanca 0-0,5 12,5Kg PA84PRAF",14.12€,https://anper.net/productos/273/arcilla-alta-temperatura/praf-pasta-refractaria-blanca-0-0-5-12-5kg-pa84praf,Anper
Arcillas,Arcillas alta temperatura,"PRAI Pasta refractaria blanca 0-0,2 12,5Kg PA84PRAI",14.12€,https://anper.net/productos/272/arcilla-alta-temperatura/prai-pasta-refractaria-blanca-0-0-2-12-5kg-pa84prai,Anper
Arcillas,Arcillas alta temperatura,"PRAM Pasta refractaria blanca 0-1,5 12,5Kg PA84PRAM",14.12€,https://anper.net/productos/274/arcilla-alta-temperatura/pram-pasta-refractaria-blanca-0-2-12-5kg-pa84pram,Anper
Arcillas,Arcillas alta temperatura,"PRGF Pasta refractaria gris 0-0,5 12,5Kg PA84PRGF",13.32€,https://anper.net/productos/277/arcilla-alta-temperatura/prgf-pasta-refractaria-gris-0-0-5-12-5kg-pa84prgf,Anper
Arcillas,Arcillas alta temperatura,"PRGI Pasta refractaria gris 0-0,2 12,5Kg PA84PRGI",13.32€,https://anper.net/productos/278/arcilla-alta-temperatura/prgi-pasta-refractaria-gris-0-0-2-12-5kg-pa84prgi,Anper
Arcillas,Arcillas alta temperatura,"PRGM Pasta refractaria gris 0-1,5 12,5Kg PA84PRGM",13.32€,https://anper.net/productos/279/arcilla-alta-temperatura/prgm-pasta-refractaria-gris-0-2-12-5kg-pa84prgm,Anper
Arcillas,Arcillas alta temperatura,"PRLF Pasta refractaria lila 0-0,5 12,5Kg PA84PRLF",13.25€,https://anper.net/productos/280/arcilla-alta-temperatura/prlf-pasta-refractaria-lila-0-0-5-12-5kg-pa84prlf,Anper
Arcillas,Arcillas alta temperatura,"PRLM Pasta refractaria lila 0-1,5 12,5Kg PA84PRLM",13.25€,https://anper.net/productos/281/arcilla-alta-temperatura/prlm-pasta-refractaria-lila-0-2-12-5kg-pa84prlm,Anper
Arcillas,Arcillas alta temperatura,"PRNF Pasta refractaria negra 0-0,5 12,5Kg PA84PRNF",14.85€,https://anper.net/productos/282/arcilla-alta-temperatura/prnf-pasta-refractaria-negra-0-0-5-12-5kg-pa84prnf,Anper
Arcillas,Arcillas alta temperatura,"PRNI Pasta refractaria negra 0-0,2 12,5Kg PA84PRNI",14.85€,https://anper.net/productos/283/arcilla-alta-temperatura/prni-pasta-refractaria-negra-0-0-2-12-5kg-pa84prni,Anper
Arcillas,Arcillas alta temperatura,"PRNM Pasta refractaria negra 0-1,5 12,5Kg PA84PRNM",14.85€,https://anper.net/productos/284/arcilla-alta-temperatura/prnm-pasta-refractaria-negra-0-2-12-5kg-pa84prnm,Anper
Arcillas,Arcillas alta temperatura,TOFFEE refractaria caramelo 0-0.2mm 12.5kg PA84TOFFEE,14.76€,https://anper.net/productos/1245/arcilla-alta-temperatura/toffee-refractaria-caramelo-0-0-2mm-12-5kg-pa84toffee,Anper
Arcillas,Arcillas alta temperatura,"ZUMAIA Pasta refractaria gris 0-0.5mm 12,5Kg PA84ZUMA",16.70€,https://anper.net/productos/1052/arcilla-alta-temperatura/zumaia-pasta-refractaria-gris-0-0-5mm-12-5kg-pa84zuma,Anper
Arcillas,Arcillas baja temperatura,AF Roja Polvo 1Kg,"1Kg
2.35€
25Kg
17.74€",https://anper.net/productos/259/arcilla-baja-temperatura/af-roja-polvo,Anper
Arcillas,Arcillas baja temperatura,AF Roja Polvo 25Kg,"1Kg
2.35€
25Kg
17.74€",https://anper.net/productos/259/arcilla-baja-temperatura/af-roja-polvo,Anper
Arcillas,Arcillas baja temperatura,APACHE Pasta Micácea 12.5Kg PA84APACHE,13.03€,https://anper.net/productos/260/arcilla-baja-temperatura/apache-pasta-micacea-12-5kg-pa84apache,Anper
Arcillas,Arcillas baja temperatura,"PA Pasta Blanca húmeda 12,5Kg PA84PA",9.58€,https://anper.net/productos/1067/arcilla-baja-temperatura/pa-pasta-blanca-humeda-12-5kg-pa84pa,Anper
Arcillas,Arcillas baja temperatura,"PA/CHF Pasta Blanca húmeda 12,5Kg PA84PACHF.",11.29€,https://anper.net/productos/1071/arcilla-baja-temperatura/pa-chf-pasta-blanca-humeda-12-5kg-pa84pachf-,Anper
Arcillas,Arcillas baja temperatura,PA000804 Pasta Europa para Colaje 1Kg,"1Kg
3.03€
5Kg
10.89€
25Kg
37.52€",https://anper.net/productos/246/arcilla-baja-temperatura/pa000804-pasta-europa-para-colaje,Anper
Arcillas,Arcillas baja temperatura,PA000804 Pasta Europa para Colaje 5Kg,"1Kg
3.03€
5Kg
10.89€
25Kg
37.52€",https://anper.net/productos/246/arcilla-baja-temperatura/pa000804-pasta-europa-para-colaje,Anper
Arcillas,Arcillas baja temperatura,PA000804 Pasta Europa para Colaje 25Kg,"1Kg
3.03€
5Kg
10.89€
25Kg
37.52€",https://anper.net/productos/246/arcilla-baja-temperatura/pa000804-pasta-europa-para-colaje,Anper
Arcillas,Arcillas baja temperatura,PA000818 Pasta Faenza húmeda 20Kg,20.78€,https://anper.net/productos/250/arcilla-baja-temperatura/pa000818-pasta-faenza-humeda-20kg,Anper
Arcillas,Arcillas baja temperatura,PA84BIS15 Pasta húmeda Roja Bisbal 15Kg,6.05€,https://anper.net/productos/261/arcilla-baja-temperatura/pa84bis15-pasta-humeda-roja-bisbal-15kg,Anper
Arcillas,Arcillas baja temperatura,PA84BIS15CH Pasta húmeda Roja Bisbal Chamotada 15Kg,7.41€,https://anper.net/productos/262/arcilla-baja-temperatura/pa84bis15ch-pasta-humeda-roja-bisbal-chamotada-15kg,Anper
Arcillas,Arcillas baja temperatura,PA84BIS15MICA PASTA CERÁMICA GEBRADA (ESCARCHADA),8.40€,https://anper.net/productos/1250/arcilla-baja-temperatura/pa84bis15mica-pasta-ceramica-gebrada-escarchada-,Anper
Arcillas,Arcillas baja temperatura,PA84BIS15N Pasta húmeda Negra Bisbal 15Kg,11.36€,https://anper.net/productos/263/arcilla-baja-temperatura/pa84bis15n-pasta-humeda-negra-bisbal-15kg,Anper
Arcillas,Arcillas baja temperatura,"PF Pasta Húmeda Roja 12,5Kg PA84PF",6.05€,https://anper.net/productos/257/arcilla-baja-temperatura/pf-pasta-humeda-roja-12-5kg-pa84pf,Anper
Arcillas,Arcillas baja temperatura,"PF/CHF Pasta Roja Húmeda Chamotada 12,5Kg PA84PFCHF",7.41€,https://anper.net/productos/268/arcilla-baja-temperatura/pf-chf-pasta-roja-humeda-chamotada-12-5kg-pa84pfchf,Anper
Arcillas,Arcillas baja temperatura,"PF/CHM Pasta Roja Húmeda Chamotada media 12,5Kg PA84PFCHM",7.41€,https://anper.net/productos/269/arcilla-baja-temperatura/pf-chm-pasta-roja-humeda-chamotada-media-12-5kg-pa84pfchm,Anper
Arcillas,Arcillas baja temperatura,PLA Pasta Azul húmeda 5Kg PA84PLA,18.55€,https://anper.net/productos/1066/arcilla-baja-temperatura/pla-pasta-Azul-humeda-5kg-pa84pla,Anper
Arcillas,Arcillas baja temperatura,PLV Pasta Verde húmeda 5Kg PA84PLV,15.94€,https://anper.net/productos/265/arcilla-baja-temperatura/plv-pasta-verde-humeda-5kg-pa84plv,Anper
Arcillas,Arcillas baja temperatura,"PM Pasta Negra Húmeda 12,5Kg PA84PME",11.36€,https://anper.net/productos/271/arcilla-baja-temperatura/pm-pasta-negra-humeda-12-5kg-pa84pme,Anper
Arcillas,Arcillas baja temperatura,"PT Pasta Terracota Húmeda 12,5Kg PA84PT",6.85€,https://anper.net/productos/285/arcilla-baja-temperatura/pt-pasta-terracota-humeda-12-5kg-pa84pt,Anper
Arcillas,Arcillas baja temperatura,"PT/CHF Pasta Terracota Chamotada 0 - 0,5 12,5Kg PA84PTCHF",8.17€,https://anper.net/productos/286/arcilla-baja-temperatura/pt-chf-pasta-terracota-chamotada-0-0-5-12-5kg-pa84ptchf,Anper
tercer-fuego,Azulejos,"BI006194 15x15x0,8 Baldosa blanca bizcochada",0.60€,https://anper.net/productos/520/baldosas/bi006194-15x15x0-8-baldosa-blanca-bizcochada,Anper
tercer-fuego,Azulejos,"BI006196 15x15x0,5 Baldosa bizcochada roja",0.97€,https://anper.net/productos/521/baldosas/bi006196-15x15x0-5-baldosa-bizcochada-roja,Anper
tercer-fuego,Azulejos,"BI006197 15x15x0,5 Baldosa blanca bizcochada",0.65€,https://anper.net/productos/511/baldosas/bi006197-15x15x0-5-baldosa-blanca-bizcochada,Anper
tercer-fuego,Azulejos,"BI006198 20x20x0,7 Baldosa bizcochada roja",1.89€,https://anper.net/productos/512/baldosas/bi006198-20x20x0-7-baldosa-bizcochada-roja,Anper
tercer-fuego,Azulejos,"BI006199 15x15x0,8 Baldosa bisbal engalbada bizcochada",1.16€,https://anper.net/productos/513/baldosas/bi006199-15x15x0-8-baldosa-bisbal-engalbada-bizcochada,Anper
tercer-fuego,Azulejos,"BI006200 20x20x0,9 Baldosa bisbal engalbada bizcochada",1.67€,https://anper.net/productos/514/baldosas/bi006200-20x20x0-9-baldosa-bisbal-engalbada-bizcochada,Anper
tercer-fuego,Azulejos,"BI006201 10x10x0,8 Baldosa bisbal engalbada bizcochada",0.75€,https://anper.net/productos/515/baldosas/bi006201-10x10x0-8-baldosa-bisbal-engalbada-bizcochada,Anper
tercer-fuego,Azulejos,"BI006202 11x11x0,52 Baldosa blanca bizcochada",0.54€,https://anper.net/productos/522/baldosas/bi006202-11x11x0-52-baldosa-blanca-bizcochada,Anper
tercer-fuego,Azulejos,"BI006204 15x15x0,65 Baldosa bizcochada roja",1.07€,https://anper.net/productos/973/baldosas/bi006204-15x15x0-65-baldosa-bizcochada-roja,Anper
tercer-fuego,Azulejos,"BI006205 15x15x0,8 Baldosa Bisbal bizcochada Roja",1.16€,https://anper.net/productos/523/baldosas/bi006205-15x15x0-8-baldosa-bisbal-bizcochada-roja,Anper
tercer-fuego,Azulejos,"BI006206 20x20x0,9 Baldosa Bisbal Bizcochada",1.89€,https://anper.net/productos/524/baldosas/bi006206-20x20x0-9-baldosa-bisbal-bizcochada,Anper
Varios,no tiene,HPI005036 Soporte bisutería (113x160x60 mm) Incluye 5 hilos de Diámetro 3mm,33.00€,https://anper.net/productos/557/complementos/hpi005036-soporte-bisuteria-113x160x60-mm-incluye-5-hilos-de-diametro-3mm,Anper
Varios,no tiene,HPI005037 Hilo para hornear bisutería 200mm x 2 mm,1.80€,https://anper.net/productos/558/complementos/hpi005037-hilo-para-hornear-bisuteria-200mm-x-2-mm,Anper
Varios,no tiene,HPI005038 Hilo para hornear bisutería 200mm x 3 mm,2.35€,https://anper.net/productos/559/complementos/hpi005038-hilo-para-hornear-bisuteria-200mm-x-3-mm,Anper
Varios,no tiene,UT846670 ASA TETERA 100 mm Bamboo,4.05€,https://anper.net/productos/85/complementos/ut846670-asa-tetera-100-mm-bamboo,Anper
Varios,no tiene,UT846671 ASA TETERA 125 mm Bamboo,4.55€,https://anper.net/productos/86/complementos/ut846671-asa-tetera-125-mm-bamboo-,Anper
Varios,no tiene,UT846672 ASA TETERA 150 mm Bamboo,4.45€,https://anper.net/productos/87/complementos/ut846672-asa-tetera-150-mm-bamboo-,Anper
Varios,no tiene,UTAR7002 Maniquí­ 30cm masculino,9.45€,https://anper.net/productos/88/complementos/utar7002-maniqui-30cm-masculino,Anper
Varios,no tiene,UTAR7002-1 Maniquí 30cm femenino,9.45€,https://anper.net/productos/89/complementos/utar7002-1-maniqui-30cm-femenino-,Anper
Varios,no tiene,UTAR7003 Mano articulada 25cm izquierda,26.00€,https://anper.net/productos/90/complementos/utar7003-mano-articulada-25cm-izquierda-,Anper
Varios,no tiene,UTAR7003-1 Mano articulada 25cm derecha,26.00€,https://anper.net/productos/91/complementos/utar7003-1-mano-articulada-25cm-derecha-,Anper
Horno,Accesorios Gas GLP,UT840312 Kit quemador completo Raku 25.000Kcal,285.00€,https://anper.net/productos/144/construccion-de-hornos/ut840312-kit-quemador-completo-raku,Anper
Horno,Accesorios Gas GLP,UT840312-1 Quemador Acodado GLP 25.000Kcal,198.94€,https://anper.net/productos/402/construccion-de-hornos/ut840312-1-quemador-acodado-glp-25-000kcal,Anper
Horno,Accesorios Gas GLP,UT840312-2 Regulador Ps 0 - 3bar 15Kg/h,56.87€,https://anper.net/productos/403/construccion-de-hornos/ut840312-2-regulador-ps-0-3bar-15kg-h-,Anper
Horno,Accesorios Gas GLP,UT840312-3 Salida libre botella GLP,19.55€,https://anper.net/productos/404/construccion-de-hornos/ut840312-3-salida-libre-botella-glp,Anper
Horno,Accesorios Gas GLP,UT840312-4 Flexible 150 cms T20-150 x T20-150,21.31€,https://anper.net/productos/405/construccion-de-hornos/ut840312-4-flexible-150-cms-t20-150-x-t20-150,Anper
Horno,Accesorios Gas GLP,"UT840312-5 Enlace reducido M21,8Iz x H20-150",4.36€,https://anper.net/productos/406/construccion-de-hornos/ut840312-5-enlace-reducido-m21-8iz-x-h20-150,Anper
Horno,Accesorios Gas GLP,UT840338 Termopar cabeza roscada M-8x1 600mm,4.72€,https://anper.net/productos/1102/construccion-de-hornos/ut840338-termopar-cabeza-roscada-m-8x1-600mm,Anper
Horno,Accesorios Gas GLP,UT840342 Quemador Recto GLP 50.000Kcal/h,257.57€,https://anper.net/productos/781/construccion-de-hornos/ut840342-quemador-recto-glp-50-000kcal-h,Anper
Horno,Accesorios Gas GLP,UT840343 Kit completo quemador Raku 11.000Kcal,254.10€,https://anper.net/productos/675/construccion-de-hornos/ut840343-kit-completo-quemador-raku-11-000kcal,Anper
Horno,Accesorios Gas GLP,UT840345 Termopar universal 600mm,22.02€,https://anper.net/productos/1239/construccion-de-hornos/ut840345-termopar-universal-600mm,Anper
Horno,Accesorios Gas GLP,UT840347 Kit completo quemador 50.000Kcal,332.33€,https://anper.net/productos/782/construccion-de-hornos/ut840347-kit-completo-quemador-50-000kcal,Anper
Horno,Accesorios Gas GLP,UT840350 Quemador acodado 75.000Kcal/h GLP,295.77€,https://anper.net/productos/967/construccion-de-hornos/ut840350-quemador-acodado-75-000kcal-h-glp,Anper
Horno,Accesorios Gas GLP,"UT840351 Llave cromada M20/150-M21,8lz",12.29€,https://anper.net/productos/968/construccion-de-hornos/ut840351-llave-cromada-m20-150-m21-8lz,Anper
Horno,Accesorios Gas GLP,UT840357 Kit conexión 2 bombonas de propano -1 quemador,147.62€,https://anper.net/productos/569/construccion-de-hornos/ut840357-kit-conexion-2-bombonas-de-propano-1-quemador,Anper
Horno,Aislantes - Ladrillos - Fibras,Cemento - Mortero líquido AL-40 1Kg,"1Kg
2.41€
5Kg
11.50€",https://anper.net/productos/963/construccion-de-hornos/cemento-mortero-liquido-al-40h,Anper
Horno,Aislantes - Ladrillos - Fibras,Cemento - Mortero líquido AL-40 5Kg,"1Kg
2.41€
5Kg
11.50€",https://anper.net/productos/963/construccion-de-hornos/cemento-mortero-liquido-al-40h,Anper
Horno,Aislantes - Ladrillos - Fibras,Pasta Reparadora Fibra hasta 1430ºC 1Kg,"1Kg
9.98€
5Kg
49.91€",https://anper.net/productos/1244/construccion-de-hornos/pasta-reparadora-fibra-hasta-1430-c,Anper
Horno,Aislantes - Ladrillos - Fibras,Pasta Reparadora Fibra hasta 1430ºC 5Kg,"1Kg
9.98€
5Kg
49.91€",https://anper.net/productos/1244/construccion-de-hornos/pasta-reparadora-fibra-hasta-1430-c,Anper
